Timestamp,Race/Ethnicity:,Class year: ,Do you identify as a low-income student? ,Are you a first-generation college student? ,Do you identify as LGBTQIA+?,Gender identity:,Will you be in Pacific Standard Time (PST) during the Spring 2021 semester?,How concerned are you about your academic success  this semester?,Additional comments about your academic success?,"Overall, how did you feel about the pace of your classes last semester? ","Overall, how did you feel about workload in your classes last semester?",What do you anticipate will be an academic challenge for you this semester? Select all that apply.,Additional comments about challenges you will face this semester? ,How helpful were the following supports to you last semester?  [Accessible office hours],How helpful were the following supports to you last semester?  [Addressing current events],How helpful were the following supports to you last semester?  [Flexibility with deadlines],How helpful were the following supports to you last semester?  [Flexibility and choice with exams/assessments],How helpful were the following supports to you last semester?  [Lower workload],How helpful were the following supports to you last semester?  [Opportunities to provide feedback to professors],How helpful were the following supports to you last semester?  [Peer-led study sessions],How helpful were the following supports to you last semester?  [Regular check-ins with professors dedicated to mental health/well-being],How helpful were the following supports to you last semester?  [Regular feedback from professors],How helpful were the following supports to you last semester?  [Resources provided on syllabi],How helpful were the following supports to you last semester?  [Transparency from professors],Additional comments about what worked and what didn't last semester? ,Which of the following would be most helpful to you this semester? (Select all that apply),"Any other comments, concerns, or questions that you would like DEB to share with faculty? (anonymously) "
1/10/2021 16:54:23,"Asian, Black or African American",2024,No,No,No,Female/woman,No,2,I feel like this depends on the class environment (ie. if profs are willing to extend deadlines/are otherwise recognizant of the difficult circumstances),3,Somewhat heavy—I sometimes struggled to complete work on time,"Busy work schedule, Difficulty accessing or affording course materials, Distress and uncertainty from current political events, Extra home/family responsibilities, Health and safety concerns, Heavy workload, Lack of support with assignments from faculty or peers, Poor mental health, Professors who are not flexible or accommodating, Social isolation",,Very helpful,Helpful,Very helpful,Very helpful,Very helpful,Not helpful,Not applicable,Helpful,Not applicable,Helpful,Very helpful,,"Advocating for flexibility with deadlines, Advocating for lower workload in classes, Community dinners or celebrations, Regular meetings with professors dedicated to checking in about my progress, mental health, etc., Self Care sessions, Transparency from professors",
1/10/2021 16:54:26,Hispanic or Latinx,2021,No,Yes,No,Female/woman,Yes,4,"Please don't fail any of your students. It is hard to produce our best work under these circumstances, and for many of us, we have additional barriers/challenges such as working multiple jobs and having more family responsibilities. ",3,Somewhat heavy—I sometimes struggled to complete work on time,"Busy work schedule, Classes running overtime, Communicating my difficulties with professors, Difficulty accessing or affording course materials, Distracting work environment, Distress and uncertainty from current political events, Extra home/family responsibilities, Fast pace, Health and safety concerns, Heavy workload, Microaggressions/Inequitable or insensitive classroom environment, Poor mental health, Professors who are not flexible or accommodating, Social isolation, Stress from financial concerns, Technological difficulties, Unhealthy or unstable living environment",,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Not applicable,Very helpful,Very helpful,Helpful,Very helpful,"Professors who addressed current events (e.g. the election) and provided space for us to talk about it really helped. I think it was just helpful that they acknowledged what was going on, and giving us space to discuss meant that they understood that it affected each of us in different ways. Professors who maybe don't feel comfortable facilitating discussions about sensitive issues could provide resources or send an email of acknowledgement and be transparent to their students about their boundaries instead of ignoring what is going on in the country altogether.  ","Advocating for flexibility with deadlines, Advocating for lower workload in classes, Advocating for more choice and flexibility with exams/assessments, Advocating for slower pace in classes, Anonymous opportunities to provide feedback to my professors, Community dinners or celebrations, Peer-led study sessions, Peer-led tutoring (one-on-one), Regular meetings with professors dedicated to checking in about my progress, mental health, etc., Study sessions with DEB members, Transparency from professors",Please address current events!! And be conscious about how everything that is happening in the world/country affects us (some more than others)! Please be flexible with assignments and deadlines. Please find alternate ways of assessing us over exams/quizzes. There were times when I just couldn't focus at home due to having multiple family members at home and sharing workspaces with my other siblings. Or give us opportunities to re-do exams/work and learn from our mistakes--mistakes that may have occurred simply to having been unable to focus/concentrate from home. It's really hard to produce our best work from home--especially those of us who have many people in our household and don't have as many resources.  
1/10/2021 16:55:52,"Asian, Black or African American",2024,No,No,No,Male/man,No,2,,4,Manageable—I completed almost all work on time,"Poor mental health, Technological difficulties",,Helpful,Very helpful,Very helpful,Very helpful,Not applicable,Helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,,"Advocating for flexibility with deadlines, Peer-led study sessions",
1/10/2021 16:57:22,Asian,2024,No,No,Yes,Female/woman,Yes,3,,3,Manageable—I completed almost all work on time,"Attending synchronous sessions, Distracting work environment, Lack of feedback from professors, Poor mental health, Social isolation",,Helpful,Helpful,Very helpful,Helpful,Helpful,Not helpful,Not applicable,Helpful,Helpful,Helpful,Helpful,,"Advocating for flexibility with deadlines, Advocating for more choice and flexibility with exams/assessments, Regular meetings with professors dedicated to checking in about my progress, mental health, etc., Self Care sessions, Transparency from professors",
1/10/2021 16:57:45,Asian,2022,Yes,No,Yes,Female/woman,No,4,,4,Somewhat heavy—I sometimes struggled to complete work on time,"Attending synchronous sessions, Busy work schedule, Difficulty accessing or affording course materials, Distracting work environment, Distress and uncertainty from current political events, Health and safety concerns",,Helpful,Very helpful,Very helpful,Very helpful,Very helpful,Helpful,Helpful,Helpful,Very helpful,Very helpful,Very helpful,,"Advocating for flexibility with deadlines, Advocating for lower workload in classes, Advocating for slower pace in classes, Regular meetings with professors dedicated to checking in about my progress, mental health, etc., Self Care sessions, Transparency from professors",
1/10/2021 17:01:08,"Native Hawaiian or Other Pacific Islander, White",2023,Yes,No,No,Female/woman,Yes,5,,4,Extremely heavy—I regularly struggled to complete work or fail to complete work on time,"Busy work schedule, Communicating my difficulties with professors, Difficulty accessing or affording course materials, Distracting work environment, Distress and uncertainty from current political events, Extra home/family responsibilities, Health and safety concerns, Heavy workload, Lack of feedback from professors, Lack of support with assignments from faculty or peers, Poor mental health, Social isolation, Stress from financial concerns",,Helpful,Helpful,Helpful,Very helpful,Not applicable,Not applicable,Helpful,Not applicable,Not applicable,Helpful,Helpful,Teachers seemed to assign more work thinking that since it’s online you have more time which was the opposite and I had to put my workouts and mental health to the side because there was so much more work to do.,"Advocating for flexibility with deadlines, Advocating for lower workload in classes, Advocating for more choice and flexibility with exams/assessments, Anonymous opportunities to provide feedback to my professors, Peer-led study sessions, Transparency from professors",
1/10/2021 17:02:09,Asian,2022,No,No,Yes,Female/woman,No,4,,4,Somewhat heavy—I sometimes struggled to complete work on time,"Busy work schedule, Communicating my difficulties with professors, Distracting work environment, Distress and uncertainty from current political events, Fast pace, Health and safety concerns, Heavy workload, Lack of support with assignments from faculty or peers, Poor mental health, Professors who are not flexible or accommodating, Social isolation",,Helpful,Helpful,Not helpful,Not applicable,Not helpful,Helpful,Not helpful,Not helpful,Not helpful,Helpful,Helpful,,"Advocating for flexibility with deadlines, Advocating for lower workload in classes, Advocating for more choice and flexibility with exams/assessments, Advocating for slower pace in classes, Anonymous opportunities to provide feedback to my professors, Peer-led tutoring (one-on-one), Regular meetings with professors dedicated to checking in about my progress, mental health, etc., Self Care sessions, Transparency from professors",
1/10/2021 17:07:48,Hispanic or Latinx,2021,No,No,No,Female/woman,Yes,4,,3,Somewhat heavy—I sometimes struggled to complete work on time,"Busy work schedule, Classes running overtime, Distracting work environment, Distress and uncertainty from current political events, Extra home/family responsibilities, Professors who are not flexible or accommodating, Social isolation",,Helpful,Very helpful,Helpful,Helpful,Not helpful,Very helpful,Helpful,Helpful,Helpful,Helpful,Helpful,,"Anonymous opportunities to provide feedback to my professors, Community dinners or celebrations, Peer-led study sessions, Peer-led tutoring (one-on-one), Regular meetings with professors dedicated to checking in about my progress, mental health, etc., Transparency from professors",
1/10/2021 17:11:22,"Hispanic or Latinx, White",2021,No,No,Yes,Female/woman,Yes,5,,5,Somewhat heavy—I sometimes struggled to complete work on time,"Attending synchronous sessions, Communicating my difficulties with professors, Difficulty accessing or affording course materials, Fast pace, Health and safety concerns, Heavy workload, Lack of support with assignments from faculty or peers, Poor mental health, Professors who are not flexible or accommodating",,Not applicable,Helpful,Very helpful,Very helpful,Not applicable,Not applicable,Not applicable,Not helpful,Helpful,Not helpful,Not helpful,,"Advocating for flexibility with deadlines, Advocating for lower workload in classes, Advocating for more choice and flexibility with exams/assessments, Advocating for slower pace in classes, Anonymous opportunities to provide feedback to my professors, Community dinners or celebrations, Peer-led tutoring (one-on-one), Regular meetings with professors dedicated to checking in about my progress, mental health, etc., Self Care sessions, Study sessions with DEB members, Transparency from professors",
1/10/2021 17:12:34,Hispanic or Latinx,2021,Yes,Yes,No,Female/woman,Yes,4,,3,Somewhat heavy—I sometimes struggled to complete work on time,"Busy work schedule, Communicating my difficulties with professors, Difficulty accessing or affording course materials, Distracting work environment, Distress and uncertainty from current political events, Extra home/family responsibilities, Health and safety concerns, Heavy workload, Lack of feedback from professors, Lack of support with assignments from faculty or peers, Poor mental health, Social isolation, Stress from financial concerns, Technological difficulties",,Very helpful,Not applicable,Very helpful,Very helpful,Very helpful,Helpful,Not applicable,Not applicable,Helpful,Not helpful,Helpful,,"Advocating for flexibility with deadlines, Advocating for lower workload in classes, Advocating for more choice and flexibility with exams/assessments, Advocating for slower pace in classes, Peer-led study sessions, Peer-led tutoring (one-on-one), Regular meetings with professors dedicated to checking in about my progress, mental health, etc., Self Care sessions, Study sessions with DEB members, Transparency from professors",
1/10/2021 17:12:40,White,2024,No,No,Yes,Female/woman,No,2,,3,Manageable—I completed almost all work on time,"Distracting work environment, Distress and uncertainty from current political events, Lack of feedback from professors, Professors who are not flexible or accommodating",,Very helpful,Very helpful,Very helpful,Not applicable,Very helpful,Very helpful,Very helpful,Helpful,Not helpful,Not helpful,Not helpful,,"Advocating for flexibility with deadlines, Advocating for more choice and flexibility with exams/assessments, Transparency from professors",
1/10/2021 17:18:38,White,2022,No,No,No,Female/woman,No,5,,4,Manageable—I completed almost all work on time,"Attending synchronous sessions, Busy work schedule, Classes running overtime, Distracting work environment, Distress and uncertainty from current political events, Extra home/family responsibilities, Fast pace, Health and safety concerns, Heavy workload, Lack of feedback from professors, Lack of support with assignments from faculty or peers, Microaggressions/Inequitable or insensitive classroom environment, Poor mental health, Professors who are not flexible or accommodating",,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,,"Advocating for flexibility with deadlines, Advocating for lower workload in classes, Advocating for more choice and flexibility with exams/assessments, Advocating for slower pace in classes, Anonymous opportunities to provide feedback to my professors, Peer-led study sessions, Transparency from professors",
1/10/2021 17:19:13,White,2021,Yes,No,Yes,Trans male/trans man,Yes,3,,3,Somewhat heavy—I sometimes struggled to complete work on time,"Busy work schedule, Communicating my difficulties with professors, Difficulty accessing or affording course materials, Distracting work environment, Distress and uncertainty from current political events, Extra home/family responsibilities, Fast pace, Health and safety concerns, Heavy workload, Lack of support with assignments from faculty or peers, Poor mental health, Social isolation, Stress from financial concerns",,Very helpful,Helpful,Very helpful,Very helpful,Very helpful,Very helpful,Not applicable,Not applicable,Very helpful,Helpful,Very helpful,,"Advocating for flexibility with deadlines, Advocating for lower workload in classes, Advocating for more choice and flexibility with exams/assessments, Advocating for slower pace in classes, Anonymous opportunities to provide feedback to my professors, Community dinners or celebrations, Peer-led study sessions, Peer-led tutoring (one-on-one), Regular meetings with professors dedicated to checking in about my progress, mental health, etc., Self Care sessions, Transparency from professors",
1/10/2021 17:19:57,Middle Eastern,2021,No,No,Yes,Female/woman,Yes,4,,3,Somewhat heavy—I sometimes struggled to complete work on time,"Busy work schedule, Classes running overtime, Communicating my difficulties with professors, Distracting work environment, Distress and uncertainty from current political events, Extra home/family responsibilities, Health and safety concerns, Heavy workload, Lack of support with assignments from faculty or peers, Poor mental health, Professors who are not flexible or accommodating, Social isolation, Unhealthy or unstable living environment",,Helpful,Helpful,Not applicable,Not applicable,Not applicable,Not applicable,Helpful,Helpful,Not applicable,Not applicable,Not helpful,,"Advocating for lower workload in classes, Community dinners or celebrations, Regular meetings with professors dedicated to checking in about my progress, mental health, etc., Transparency from professors",
1/10/2021 17:22:22,Asian,2023,No,No,No,Female/woman,Yes,3,I dropped a class in the beginning of last fall sem b/c I felt that a full schedule would be too much for me to manage at least with virtual learning. I am a little concerned in my ability to keep up with work this coming semester since I am taking a full load. ,3,Manageable—I completed almost all work on time,"Busy work schedule, Communicating my difficulties with professors, Distress and uncertainty from current political events, Fast pace, Health and safety concerns, Heavy workload, Poor mental health, Professors who are not flexible or accommodating, Social isolation, Unhealthy or unstable living environment",,Helpful,Not applicable,Helpful,Helpful,Not applicable,Helpful,Not applicable,Not applicable,Helpful,Helpful,Helpful,,"Advocating for flexibility with deadlines, Advocating for lower workload in classes, Advocating for more choice and flexibility with exams/assessments, Advocating for slower pace in classes, Anonymous opportunities to provide feedback to my professors, Peer-led study sessions, Peer-led tutoring (one-on-one), Regular meetings with professors dedicated to checking in about my progress, mental health, etc., Self Care sessions, Transparency from professors",
1/10/2021 17:23:34,White,2023,No,No,No,Female/woman,Yes,2,,3,Somewhat heavy—I sometimes struggled to complete work on time,"Busy work schedule, Classes running overtime, Distress and uncertainty from current political events, Heavy workload, Professors who are not flexible or accommodating",,Helpful,Not applicable,Helpful,Not applicable,Not applicable,Helpful,Helpful,Not applicable,Helpful,Not applicable,Helpful,,Advocating for flexibility with deadlines,
1/10/2021 17:24:23,Asian,2022,No,Yes,No,Female/woman,Yes,4,,3,Extremely heavy—I regularly struggled to complete work or fail to complete work on time,"Busy work schedule, Communicating my difficulties with professors, Distracting work environment, Distress and uncertainty from current political events, Extra home/family responsibilities, Fast pace, Health and safety concerns, Heavy workload, Poor mental health, Social isolation",,Helpful,Helpful,Helpful,Not applicable,Not applicable,"Helpful, Not applicable",Not applicable,Not applicable,Helpful,Not applicable,Not applicable,,"Advocating for flexibility with deadlines, Advocating for lower workload in classes, Advocating for slower pace in classes, Anonymous opportunities to provide feedback to my professors, Peer-led study sessions, Regular meetings with professors dedicated to checking in about my progress, mental health, etc., Self Care sessions, Transparency from professors",
1/10/2021 17:30:17,White,2023,No,No,Yes,Gender queer/gender non-conforming,Yes,3,"Overall, I felt like my concentration and executive function has declined significantly; I feel like I can't work as independently as before COVID-19 and need a lot more support to manage my learning disability.",3,Extremely heavy—I regularly struggled to complete work or fail to complete work on time,"Distress and uncertainty from current political events, Heavy workload, Poor mental health, Social isolation, Asynchronous courses",,Helpful,Not helpful,Very helpful,Very helpful,Not applicable,Not helpful,Not applicable,Not applicable,Helpful,Not applicable,Not applicable,,"Advocating for flexibility with deadlines, Advocating for lower workload in classes, Advocating for more choice and flexibility with exams/assessments",
1/10/2021 17:30:50,White,2022,No,No,Yes,Gender queer/gender non-conforming,Yes,2,,3,Manageable—I completed almost all work on time,"Communicating my difficulties with professors, Extra home/family responsibilities, Poor mental health, Social isolation",,Very helpful,Not applicable,Very helpful,Helpful,Helpful,Very helpful,Helpful,Not applicable,Very helpful,Very helpful,Very helpful,,"Anonymous opportunities to provide feedback to my professors, Community dinners or celebrations, Self Care sessions",
1/10/2021 17:37:26,"Asian, White",2022,No,No,No,Female/woman,Yes,3,,4,Somewhat heavy—I sometimes struggled to complete work on time,"Attending synchronous sessions, Classes running overtime, Communicating my difficulties with professors, Difficulty accessing or affording course materials, Distracting work environment, Distress and uncertainty from current political events, Fast pace, Heavy workload, Lack of feedback from professors, Lack of support with assignments from faculty or peers, Microaggressions/Inequitable or insensitive classroom environment, Poor mental health, Professors who are not flexible or accommodating, Social isolation, Stress from financial concerns, Technological difficulties",,Not helpful,Not applicable,Helpful,Helpful,Not applicable,Not helpful,Not applicable,Not applicable,Not applicable,Not helpful,Not helpful,,"Advocating for flexibility with deadlines, Advocating for lower workload in classes, Community dinners or celebrations, Peer-led study sessions, Peer-led tutoring (one-on-one), Regular meetings with professors dedicated to checking in about my progress, mental health, etc., Self Care sessions, Transparency from professors",
1/10/2021 17:40:35,White,2021,No,No,No,Female/woman,Yes,3,,3,Extremely heavy—I regularly struggled to complete work or fail to complete work on time,"Busy work schedule, Distracting work environment, Health and safety concerns, Heavy workload, Lack of support with assignments from faculty or peers, Poor mental health, Technological difficulties",,Helpful,Helpful,Helpful,Not applicable,Not applicable,Helpful,Not applicable,Not applicable,Not applicable,Not applicable,Helpful,,"Advocating for flexibility with deadlines, Advocating for more choice and flexibility with exams/assessments, Anonymous opportunities to provide feedback to my professors, Regular meetings with professors dedicated to checking in about my progress, mental health, etc.",
1/10/2021 17:45:49,"Asian, White",2024,No,No,Prefer not to say,Prefer not to say,Yes,4,"I ended up withdrawing from a class last semester, so I only took 12 credits. This semester I'm taking 18 so I''m concerned about my workload. ",4,Somewhat heavy—I sometimes struggled to complete work on time,"Classes running overtime, Communicating my difficulties with professors, Distracting work environment, Fast pace, Health and safety concerns, Heavy workload, Poor mental health, Social isolation",,Not applicable,Very helpful,Very helpful,Very helpful,Very helpful,Not applicable,Not applicable,Helpful,Not applicable,Not applicable,Not applicable,,"Advocating for flexibility with deadlines, Advocating for lower workload in classes, Advocating for more choice and flexibility with exams/assessments, Advocating for slower pace in classes, Anonymous opportunities to provide feedback to my professors, Regular meetings with professors dedicated to checking in about my progress, mental health, etc.",
1/10/2021 17:46:34,White,2022,No,No,Yes,Female/woman,Yes,4,,4,Extremely heavy—I regularly struggled to complete work or fail to complete work on time,"Busy work schedule, Classes running overtime, Distress and uncertainty from current political events, Extra home/family responsibilities, Fast pace, Heavy workload, Poor mental health, Professors who are not flexible or accommodating, Social isolation",,Not applicable,Very helpful,Very helpful,Very helpful,Very helpful,Not helpful,Not helpful,Very helpful,Very helpful,Very helpful,Very helpful,,"Advocating for flexibility with deadlines, Advocating for lower workload in classes, Advocating for more choice and flexibility with exams/assessments, Advocating for slower pace in classes, Anonymous opportunities to provide feedback to my professors, Community dinners or celebrations, Regular meetings with professors dedicated to checking in about my progress, mental health, etc., Self Care sessions, Transparency from professors",Please lower the workload
1/10/2021 17:58:57,Asian,2023,No,No,Prefer not to say,Prefer not to say,Yes,4,,3,Somewhat heavy—I sometimes struggled to complete work on time,"Busy work schedule, Extra home/family responsibilities, Fast pace, Heavy workload, Social isolation",,Very helpful,Not applicable,Very helpful,Very helpful,Very helpful,Very helpful,Helpful,Not helpful,Very helpful,Helpful,Very helpful,,"Advocating for flexibility with deadlines, Advocating for lower workload in classes, Advocating for more choice and flexibility with exams/assessments, Advocating for slower pace in classes, Community dinners or celebrations, Peer-led study sessions, Transparency from professors","this is for DEB- in the gender question, please don't make trans woman a separate choice from woman, or if you do, then at least make it so people can select multiple options so they're not boxed into choosing between being a woman/man and being a trans woman/man. Thank u ;)"
1/10/2021 18:07:40,Hispanic or Latinx,2023,Yes,No,Yes,Male/man,Yes,3,,3,Manageable—I completed almost all work on time,"Busy work schedule, Classes running overtime, Distress and uncertainty from current political events, Poor mental health, Social isolation",,Helpful,Very helpful,Very helpful,Helpful,Not helpful,Helpful,Not applicable,Not applicable,Helpful,Helpful,Helpful,,"Advocating for flexibility with deadlines, Advocating for more choice and flexibility with exams/assessments, Community dinners or celebrations, Transparency from professors",
1/10/2021 18:10:51,Asian,2023,No,No,No,Female/woman,Yes,4,,4,Extremely heavy—I regularly struggled to complete work or fail to complete work on time,"Busy work schedule, Distress and uncertainty from current political events, Fast pace, Heavy workload, Lack of feedback from professors, Lack of support with assignments from faculty or peers, Professors who are not flexible or accommodating",,Helpful,Helpful,Very helpful,Helpful,Helpful,Not helpful,Not applicable,Not applicable,Not applicable,Not applicable,Helpful,,"Advocating for flexibility with deadlines, Advocating for lower workload in classes, Advocating for more choice and flexibility with exams/assessments, Advocating for slower pace in classes, Anonymous opportunities to provide feedback to my professors, Self Care sessions, Transparency from professors",
